received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-15T18:54:31.000527289Z	eui-70b3d57ed005a082	104	9	{'CH4': 1050, 'co2': 419, 'rh': 82, 'temp': 7.5, 'unix': 1742068458}	-71		0.061696s
2025-03-15T19:23:42.508242069Z	eui-70b3d57ed005a082	104		{'CH4': 1108, 'co2': 379, 'rh': 93.9, 'temp': 4.6, 'unix': 1742070214}	-73		0.205824s
2025-03-15T21:23:41.088797877Z	eui-70b3d57ed005a082	104	1	{'CH4': 1151, 'co2': 280, 'rh': 82.4, 'temp': 7.1, 'unix': 1742077412}	-73		0.066816s
2025-03-15T23:23:39.798374967Z	eui-70b3d57ed005a082	104	2	{'CH4': 1112, 'co2': 394, 'rh': 82, 'temp': 7.9, 'unix': 1742084607}	-70		0.061696s
2025-03-16T01:23:38.524127127Z	eui-70b3d57ed005a082	104	3	{'CH4': 1181, 'co2': 277, 'rh': 82.1, 'temp': 7.4, 'unix': 1742091808}	-72		0.061696s
2025-03-16T05:23:35.938345122Z	eui-70b3d57ed005a082	104	5	{'CH4': 1226, 'co2': 275, 'rh': 81.2, 'temp': 9, 'unix': 1742106207}	-71		0.061696s
2025-03-16T09:23:33.314272770Z	eui-70b3d57ed005a082	104	7	{'CH4': 1468, 'co2': 273, 'rh': 81.5, 'temp': 15, 'unix': 1742120605}	-72		0.061696s
2025-03-16T11:23:31.998974251Z	eui-70b3d57ed005a082	104	8	{'CH4': 1491, 'co2': 367, 'rh': 80.6, 'temp': 17.3, 'unix': 1742127799}	-72		0.066816s
2025-03-16T13:23:35.504203015Z	eui-70b3d57ed005a082	104	9	{'CH4': 1579, 'co2': 231, 'rh': 80.9, 'temp': 16.2, 'unix': 1742134999}	-73		0.061696s
2025-03-16T13:52:36.074704216Z	eui-70b3d57ed005a082	104		{'CH4': 1513, 'co2': 210, 'rh': 90.3, 'temp': 13.2, 'unix': 1742136748}	-78		0.205824s
2025-03-16T15:52:34.590582278Z	eui-70b3d57ed005a082	104	1	{'CH4': 1239, 'co2': 317, 'rh': 79.5, 'temp': 11.5, 'unix': 1742143946}	-71		0.066816s
2025-03-15T00:25:30.037674540Z	eui-70b3d57ed005a082	104	9	{'CH4': 1080, 'co2': 206, 'rh': 84.7, 'temp': 4.4, 'unix': 1742001920}	-73		0.061696s
2025-03-15T00:54:43.175104769Z	eui-70b3d57ed005a082	104		{'CH4': 1122, 'co2': 204, 'rh': 95.3, 'temp': 1.8, 'unix': 1742003675}	-73		0.205824s
2025-03-15T02:54:41.681484530Z	eui-70b3d57ed005a082	104	1	{'CH4': 1037, 'co2': 168, 'rh': 84.8, 'temp': 4, 'unix': 1742010871}	-73		0.066816s
2025-03-15T04:54:40.335197220Z	eui-70b3d57ed005a082	104	2	{'CH4': 1031, 'co2': 142, 'rh': 85.1, 'temp': 3.6, 'unix': 1742018070}	-72		0.061696s
2025-03-15T06:54:39.002559123Z	eui-70b3d57ed005a082	104	3	{'CH4': 1031, 'co2': 119, 'rh': 84.9, 'temp': 3.8, 'unix': 1742025271}	-73		0.061696s
2025-03-15T08:54:37.689531099Z	eui-70b3d57ed005a082	104	4	{'CH4': 1418, 'co2': 116, 'rh': 83.4, 'temp': 12.9, 'unix': 1742032465}	-73		0.066816s
2025-03-15T10:54:36.357081722Z	eui-70b3d57ed005a082	104	5	{'CH4': 1325, 'co2': 429, 'rh': 80.8, 'temp': 15.1, 'unix': 1742039663}	-73		0.061696s
2025-03-15T12:54:35.008433791Z	eui-70b3d57ed005a082	104	6	{'CH4': 1566, 'co2': 307, 'rh': 81.4, 'temp': 15.1, 'unix': 1742046864}	-69		0.061696s
2025-03-15T14:54:33.678039436Z	eui-70b3d57ed005a082	104	7	{'CH4': 1161, 'co2': 413, 'rh': 79.8, 'temp': 11.6, 'unix': 1742054063}	-71		0.061696s
2025-03-15T16:54:32.323627731Z	eui-70b3d57ed005a082	104	8	{'CH4': 1313, 'co2': 292, 'rh': 81.2, 'temp': 10.1, 'unix': 1742061262}	-72		0.061696s
2025-03-15T18:54:31.000527289Z	eui-70b3d57ed005a082	104	9	{'CH4': 1050, 'co2': 419, 'rh': 82, 'temp': 7.5, 'unix': 1742068458}	-71		0.061696s
2025-03-15T19:23:42.508242069Z	eui-70b3d57ed005a082	104		{'CH4': 1108, 'co2': 379, 'rh': 93.9, 'temp': 4.6, 'unix': 1742070214}	-73		0.205824s
2025-03-15T21:23:41.088797877Z	eui-70b3d57ed005a082	104	1	{'CH4': 1151, 'co2': 280, 'rh': 82.4, 'temp': 7.1, 'unix': 1742077412}	-73		0.066816s
2025-03-15T23:23:39.798374967Z	eui-70b3d57ed005a082	104	2	{'CH4': 1112, 'co2': 394, 'rh': 82, 'temp': 7.9, 'unix': 1742084607}	-70		0.061696s
2025-03-16T01:23:38.524127127Z	eui-70b3d57ed005a082	104	3	{'CH4': 1181, 'co2': 277, 'rh': 82.1, 'temp': 7.4, 'unix': 1742091808}	-72		0.061696s
2025-03-16T05:23:35.938345122Z	eui-70b3d57ed005a082	104	5	{'CH4': 1226, 'co2': 275, 'rh': 81.2, 'temp': 9, 'unix': 1742106207}	-71		0.061696s
2025-03-16T09:23:33.314272770Z	eui-70b3d57ed005a082	104	7	{'CH4': 1468, 'co2': 273, 'rh': 81.5, 'temp': 15, 'unix': 1742120605}	-72		0.061696s
2025-03-16T11:23:31.998974251Z	eui-70b3d57ed005a082	104	8	{'CH4': 1491, 'co2': 367, 'rh': 80.6, 'temp': 17.3, 'unix': 1742127799}	-72		0.066816s
2025-03-16T13:23:35.504203015Z	eui-70b3d57ed005a082	104	9	{'CH4': 1579, 'co2': 231, 'rh': 80.9, 'temp': 16.2, 'unix': 1742134999}	-73		0.061696s
2025-03-16T13:52:36.074704216Z	eui-70b3d57ed005a082	104		{'CH4': 1513, 'co2': 210, 'rh': 90.3, 'temp': 13.2, 'unix': 1742136748}	-78		0.205824s
2025-03-16T15:52:34.590582278Z	eui-70b3d57ed005a082	104	1	{'CH4': 1239, 'co2': 317, 'rh': 79.5, 'temp': 11.5, 'unix': 1742143946}	-71		0.066816s
2025-03-16T17:52:33.322877849Z	eui-70b3d57ed005a082	104	2	{'CH4': 1231, 'co2': 178, 'rh': 82, 'temp': 9.3, 'unix': 1742151146}	-73		0.061696s
2025-03-15T00:25:30.037674540Z	eui-70b3d57ed005a082	104	9	{'CH4': 1080, 'co2': 206, 'rh': 84.7, 'temp': 4.4, 'unix': 1742001920}	-73		0.061696s
2025-03-15T00:54:43.175104769Z	eui-70b3d57ed005a082	104		{'CH4': 1122, 'co2': 204, 'rh': 95.3, 'temp': 1.8, 'unix': 1742003675}	-73		0.205824s
2025-03-15T02:54:41.681484530Z	eui-70b3d57ed005a082	104	1	{'CH4': 1037, 'co2': 168, 'rh': 84.8, 'temp': 4, 'unix': 1742010871}	-73		0.066816s
2025-03-15T04:54:40.335197220Z	eui-70b3d57ed005a082	104	2	{'CH4': 1031, 'co2': 142, 'rh': 85.1, 'temp': 3.6, 'unix': 1742018070}	-72		0.061696s
2025-03-15T06:54:39.002559123Z	eui-70b3d57ed005a082	104	3	{'CH4': 1031, 'co2': 119, 'rh': 84.9, 'temp': 3.8, 'unix': 1742025271}	-73		0.061696s
2025-03-15T08:54:37.689531099Z	eui-70b3d57ed005a082	104	4	{'CH4': 1418, 'co2': 116, 'rh': 83.4, 'temp': 12.9, 'unix': 1742032465}	-73		0.066816s
2025-03-15T10:54:36.357081722Z	eui-70b3d57ed005a082	104	5	{'CH4': 1325, 'co2': 429, 'rh': 80.8, 'temp': 15.1, 'unix': 1742039663}	-73		0.061696s
2025-03-15T12:54:35.008433791Z	eui-70b3d57ed005a082	104	6	{'CH4': 1566, 'co2': 307, 'rh': 81.4, 'temp': 15.1, 'unix': 1742046864}	-69		0.061696s
2025-03-15T14:54:33.678039436Z	eui-70b3d57ed005a082	104	7	{'CH4': 1161, 'co2': 413, 'rh': 79.8, 'temp': 11.6, 'unix': 1742054063}	-71		0.061696s
2025-03-15T16:54:32.323627731Z	eui-70b3d57ed005a082	104	8	{'CH4': 1313, 'co2': 292, 'rh': 81.2, 'temp': 10.1, 'unix': 1742061262}	-72		0.061696s
2025-03-15T18:54:31.000527289Z	eui-70b3d57ed005a082	104	9	{'CH4': 1050, 'co2': 419, 'rh': 82, 'temp': 7.5, 'unix': 1742068458}	-71		0.061696s
2025-03-15T19:23:42.508242069Z	eui-70b3d57ed005a082	104		{'CH4': 1108, 'co2': 379, 'rh': 93.9, 'temp': 4.6, 'unix': 1742070214}	-73		0.205824s
2025-03-15T21:23:41.088797877Z	eui-70b3d57ed005a082	104	1	{'CH4': 1151, 'co2': 280, 'rh': 82.4, 'temp': 7.1, 'unix': 1742077412}	-73		0.066816s
2025-03-15T23:23:39.798374967Z	eui-70b3d57ed005a082	104	2	{'CH4': 1112, 'co2': 394, 'rh': 82, 'temp': 7.9, 'unix': 1742084607}	-70		0.061696s
2025-03-16T01:23:38.524127127Z	eui-70b3d57ed005a082	104	3	{'CH4': 1181, 'co2': 277, 'rh': 82.1, 'temp': 7.4, 'unix': 1742091808}	-72		0.061696s
2025-03-16T05:23:35.938345122Z	eui-70b3d57ed005a082	104	5	{'CH4': 1226, 'co2': 275, 'rh': 81.2, 'temp': 9, 'unix': 1742106207}	-71		0.061696s
2025-03-16T09:23:33.314272770Z	eui-70b3d57ed005a082	104	7	{'CH4': 1468, 'co2': 273, 'rh': 81.5, 'temp': 15, 'unix': 1742120605}	-72		0.061696s
2025-03-16T11:23:31.998974251Z	eui-70b3d57ed005a082	104	8	{'CH4': 1491, 'co2': 367, 'rh': 80.6, 'temp': 17.3, 'unix': 1742127799}	-72		0.066816s
2025-03-16T13:23:35.504203015Z	eui-70b3d57ed005a082	104	9	{'CH4': 1579, 'co2': 231, 'rh': 80.9, 'temp': 16.2, 'unix': 1742134999}	-73		0.061696s
2025-03-16T13:52:36.074704216Z	eui-70b3d57ed005a082	104		{'CH4': 1513, 'co2': 210, 'rh': 90.3, 'temp': 13.2, 'unix': 1742136748}	-78		0.205824s
2025-03-16T15:52:34.590582278Z	eui-70b3d57ed005a082	104	1	{'CH4': 1239, 'co2': 317, 'rh': 79.5, 'temp': 11.5, 'unix': 1742143946}	-71		0.066816s
2025-03-16T17:52:33.322877849Z	eui-70b3d57ed005a082	104	2	{'CH4': 1231, 'co2': 178, 'rh': 82, 'temp': 9.3, 'unix': 1742151146}	-73		0.061696s
2025-03-16T19:52:32.012832792Z	eui-70b3d57ed005a082	104	3	{'CH4': 1107, 'co2': 333, 'rh': 83.4, 'temp': 7.7, 'unix': 1742158340}	-73		0.061696s
2025-03-16T21:52:30.665323907Z	eui-70b3d57ed005a082	104	4	{'CH4': 1111, 'co2': 203, 'rh': 84, 'temp': 6.7, 'unix': 1742165541}	-74		0.061696s
2025-03-15T00:25:30.037674540Z	eui-70b3d57ed005a082	104	9	{'CH4': 1080, 'co2': 206, 'rh': 84.7, 'temp': 4.4, 'unix': 1742001920}	-73		0.061696s
2025-03-15T00:54:43.175104769Z	eui-70b3d57ed005a082	104		{'CH4': 1122, 'co2': 204, 'rh': 95.3, 'temp': 1.8, 'unix': 1742003675}	-73		0.205824s
2025-03-15T02:54:41.681484530Z	eui-70b3d57ed005a082	104	1	{'CH4': 1037, 'co2': 168, 'rh': 84.8, 'temp': 4, 'unix': 1742010871}	-73		0.066816s
2025-03-15T04:54:40.335197220Z	eui-70b3d57ed005a082	104	2	{'CH4': 1031, 'co2': 142, 'rh': 85.1, 'temp': 3.6, 'unix': 1742018070}	-72		0.061696s
2025-03-15T06:54:39.002559123Z	eui-70b3d57ed005a082	104	3	{'CH4': 1031, 'co2': 119, 'rh': 84.9, 'temp': 3.8, 'unix': 1742025271}	-73		0.061696s
2025-03-15T08:54:37.689531099Z	eui-70b3d57ed005a082	104	4	{'CH4': 1418, 'co2': 116, 'rh': 83.4, 'temp': 12.9, 'unix': 1742032465}	-73		0.066816s
2025-03-15T10:54:36.357081722Z	eui-70b3d57ed005a082	104	5	{'CH4': 1325, 'co2': 429, 'rh': 80.8, 'temp': 15.1, 'unix': 1742039663}	-73		0.061696s
2025-03-15T12:54:35.008433791Z	eui-70b3d57ed005a082	104	6	{'CH4': 1566, 'co2': 307, 'rh': 81.4, 'temp': 15.1, 'unix': 1742046864}	-69		0.061696s
2025-03-15T14:54:33.678039436Z	eui-70b3d57ed005a082	104	7	{'CH4': 1161, 'co2': 413, 'rh': 79.8, 'temp': 11.6, 'unix': 1742054063}	-71		0.061696s
2025-03-15T16:54:32.323627731Z	eui-70b3d57ed005a082	104	8	{'CH4': 1313, 'co2': 292, 'rh': 81.2, 'temp': 10.1, 'unix': 1742061262}	-72		0.061696s
2025-03-15T18:54:31.000527289Z	eui-70b3d57ed005a082	104	9	{'CH4': 1050, 'co2': 419, 'rh': 82, 'temp': 7.5, 'unix': 1742068458}	-71		0.061696s
2025-03-15T19:23:42.508242069Z	eui-70b3d57ed005a082	104		{'CH4': 1108, 'co2': 379, 'rh': 93.9, 'temp': 4.6, 'unix': 1742070214}	-73		0.205824s
2025-03-15T21:23:41.088797877Z	eui-70b3d57ed005a082	104	1	{'CH4': 1151, 'co2': 280, 'rh': 82.4, 'temp': 7.1, 'unix': 1742077412}	-73		0.066816s
2025-03-15T23:23:39.798374967Z	eui-70b3d57ed005a082	104	2	{'CH4': 1112, 'co2': 394, 'rh': 82, 'temp': 7.9, 'unix': 1742084607}	-70		0.061696s
2025-03-16T01:23:38.524127127Z	eui-70b3d57ed005a082	104	3	{'CH4': 1181, 'co2': 277, 'rh': 82.1, 'temp': 7.4, 'unix': 1742091808}	-72		0.061696s
