received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-14T00:54:00.512342051Z	eui-70b3d57ed005a07c	116	1	{'CH4': 822, 'co2': 100, 'rh': 83.1, 'temp': 7.6, 'unix': 1741917234}	-83		0.066816s
2025-03-14T02:53:59.226976301Z	eui-70b3d57ed005a07c	116	2	{'CH4': 807, 'co2': 215, 'rh': 84.5, 'temp': 7.3, 'unix': 1741924430}	-82		0.061696s
2025-03-14T04:53:57.940538368Z	eui-70b3d57ed005a07c	116	3	{'CH4': 800, 'co2': 106, 'rh': 84.4, 'temp': 7, 'unix': 1741931631}	-82		0.061696s
2025-03-14T06:53:56.635002571Z	eui-70b3d57ed005a07c	116	4	{'CH4': 798, 'co2': 203, 'rh': 85.4, 'temp': 6.9, 'unix': 1741938828}	-80		0.061696s
2025-03-14T08:53:55.331336136Z	eui-70b3d57ed005a07c	116	5	{'CH4': 1049, 'co2': 131, 'rh': 86.4, 'temp': 13, 'unix': 1741946027}	-82		0.061696s
2025-03-14T10:53:53.922677313Z	eui-70b3d57ed005a07c	116	6	{'CH4': 984, 'co2': 244, 'rh': 82.6, 'temp': 14.4, 'unix': 1741953223}	-86		0.061696s
2025-03-14T12:53:52.505193842Z	eui-70b3d57ed005a07c	116	7	{'CH4': 1126, 'co2': 129, 'rh': 82.2, 'temp': 16.7, 'unix': 1741960425}	-84		0.066816s
2025-03-14T14:53:51.059369474Z	eui-70b3d57ed005a07c	116	8	{'CH4': 915, 'co2': 248, 'rh': 79, 'temp': 13.4, 'unix': 1741967620}	-85		0.061696s
2025-03-14T16:53:49.653621164Z	eui-70b3d57ed005a07c	116	9	{'CH4': 892, 'co2': 87, 'rh': 84.1, 'temp': 9.6, 'unix': 1741974822}	-80		0.061696s
2025-03-14T18:14:30.320847247Z	eui-70b3d57ed005a07c	116		{'CH4': 914, 'co2': 0, 'rh': 94.1, 'temp': 5.8, 'unix': 1741979664}	-80		0.205824s
2025-03-14T20:14:28.930202089Z	eui-70b3d57ed005a07c	116	1	{'CH4': 760, 'co2': 126, 'rh': 85, 'temp': 7.2, 'unix': 1741986862}	-82		0.123392s
2025-03-14T22:14:27.547736604Z	eui-70b3d57ed005a07c	116	2	{'CH4': 738, 'co2': 23, 'rh': 85.5, 'temp': 6.5, 'unix': 1741994057}	-81		0.066816s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
2025-03-15T10:14:19.520334224Z	eui-70b3d57ed005a07c	116	8	{'CH4': 1064, 'co2': 120, 'rh': 84, 'temp': 16.6, 'unix': 1742037252}	-83		0.061696s
2025-03-15T12:14:18.117918920Z	eui-70b3d57ed005a07c	116	9	{'CH4': 1118, 'co2': 170, 'rh': 84.5, 'temp': 16.3, 'unix': 1742044449}	-82		0.061696s
2025-03-15T13:35:44.954796288Z	eui-70b3d57ed005a07c	116		{'CH4': 1127, 'co2': 54, 'rh': 88.9, 'temp': 15.4, 'unix': 1742049338}	-85		0.205824s
2025-03-15T15:35:43.482581198Z	eui-70b3d57ed005a07c	116	1	{'CH4': 892, 'co2': 175, 'rh': 82.7, 'temp': 11.9, 'unix': 1742056532}	-84		0.123392s
2025-03-15T19:35:40.688565491Z	eui-70b3d57ed005a07c	116	3	{'CH4': 805, 'co2': 160, 'rh': 85.5, 'temp': 8, 'unix': 1742070933}	-83		0.061696s
2025-03-15T21:35:39.409795546Z	eui-70b3d57ed005a07c	116	4	{'CH4': 803, 'co2': 47, 'rh': 85.7, 'temp': 7.9, 'unix': 1742078130}	-80		0.061696s
2025-03-15T23:35:38.121156793Z	eui-70b3d57ed005a07c	116	5	{'CH4': 832, 'co2': 161, 'rh': 84.6, 'temp': 8.5, 'unix': 1742085328}	-83		0.061696s
2025-03-16T01:35:36.815842545Z	eui-70b3d57ed005a07c	116	6	{'CH4': 831, 'co2': 57, 'rh': 84.7, 'temp': 8.1, 'unix': 1742092526}	-80		0.061696s
2025-03-16T03:35:35.471403745Z	eui-70b3d57ed005a07c	116	7	{'CH4': 843, 'co2': 174, 'rh': 83.9, 'temp': 8.6, 'unix': 1742099728}	-80		0.061696s
2025-03-16T05:35:34.071844123Z	eui-70b3d57ed005a07c	116	8	{'CH4': 850, 'co2': 62, 'rh': 83.8, 'temp': 9.3, 'unix': 1742106926}	-81		0.061696s
2025-03-16T07:35:32.642497481Z	eui-70b3d57ed005a07c	116	9	{'CH4': 884, 'co2': 174, 'rh': 83.5, 'temp': 10.5, 'unix': 1742114124}	-82		0.061696s
2025-03-16T08:56:20.324557864Z	eui-70b3d57ed005a07c	116		{'CH4': 1072, 'co2': 72, 'rh': 93.5, 'temp': 12.2, 'unix': 1742118974}	-84		0.205824s
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
2025-03-15T10:14:19.520334224Z	eui-70b3d57ed005a07c	116	8	{'CH4': 1064, 'co2': 120, 'rh': 84, 'temp': 16.6, 'unix': 1742037252}	-83		0.061696s
2025-03-15T12:14:18.117918920Z	eui-70b3d57ed005a07c	116	9	{'CH4': 1118, 'co2': 170, 'rh': 84.5, 'temp': 16.3, 'unix': 1742044449}	-82		0.061696s
2025-03-15T13:35:44.954796288Z	eui-70b3d57ed005a07c	116		{'CH4': 1127, 'co2': 54, 'rh': 88.9, 'temp': 15.4, 'unix': 1742049338}	-85		0.205824s
2025-03-15T15:35:43.482581198Z	eui-70b3d57ed005a07c	116	1	{'CH4': 892, 'co2': 175, 'rh': 82.7, 'temp': 11.9, 'unix': 1742056532}	-84		0.123392s
2025-03-15T19:35:40.688565491Z	eui-70b3d57ed005a07c	116	3	{'CH4': 805, 'co2': 160, 'rh': 85.5, 'temp': 8, 'unix': 1742070933}	-83		0.061696s
2025-03-15T21:35:39.409795546Z	eui-70b3d57ed005a07c	116	4	{'CH4': 803, 'co2': 47, 'rh': 85.7, 'temp': 7.9, 'unix': 1742078130}	-80		0.061696s
2025-03-15T23:35:38.121156793Z	eui-70b3d57ed005a07c	116	5	{'CH4': 832, 'co2': 161, 'rh': 84.6, 'temp': 8.5, 'unix': 1742085328}	-83		0.061696s
2025-03-16T01:35:36.815842545Z	eui-70b3d57ed005a07c	116	6	{'CH4': 831, 'co2': 57, 'rh': 84.7, 'temp': 8.1, 'unix': 1742092526}	-80		0.061696s
2025-03-16T03:35:35.471403745Z	eui-70b3d57ed005a07c	116	7	{'CH4': 843, 'co2': 174, 'rh': 83.9, 'temp': 8.6, 'unix': 1742099728}	-80		0.061696s
2025-03-16T05:35:34.071844123Z	eui-70b3d57ed005a07c	116	8	{'CH4': 850, 'co2': 62, 'rh': 83.8, 'temp': 9.3, 'unix': 1742106926}	-81		0.061696s
2025-03-16T07:35:32.642497481Z	eui-70b3d57ed005a07c	116	9	{'CH4': 884, 'co2': 174, 'rh': 83.5, 'temp': 10.5, 'unix': 1742114124}	-82		0.061696s
2025-03-16T08:56:20.324557864Z	eui-70b3d57ed005a07c	116		{'CH4': 1072, 'co2': 72, 'rh': 93.5, 'temp': 12.2, 'unix': 1742118974}	-84		0.205824s
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
2025-03-15T10:14:19.520334224Z	eui-70b3d57ed005a07c	116	8	{'CH4': 1064, 'co2': 120, 'rh': 84, 'temp': 16.6, 'unix': 1742037252}	-83		0.061696s
2025-03-15T12:14:18.117918920Z	eui-70b3d57ed005a07c	116	9	{'CH4': 1118, 'co2': 170, 'rh': 84.5, 'temp': 16.3, 'unix': 1742044449}	-82		0.061696s
2025-03-15T13:35:44.954796288Z	eui-70b3d57ed005a07c	116		{'CH4': 1127, 'co2': 54, 'rh': 88.9, 'temp': 15.4, 'unix': 1742049338}	-85		0.205824s
2025-03-15T15:35:43.482581198Z	eui-70b3d57ed005a07c	116	1	{'CH4': 892, 'co2': 175, 'rh': 82.7, 'temp': 11.9, 'unix': 1742056532}	-84		0.123392s
2025-03-15T19:35:40.688565491Z	eui-70b3d57ed005a07c	116	3	{'CH4': 805, 'co2': 160, 'rh': 85.5, 'temp': 8, 'unix': 1742070933}	-83		0.061696s
2025-03-15T21:35:39.409795546Z	eui-70b3d57ed005a07c	116	4	{'CH4': 803, 'co2': 47, 'rh': 85.7, 'temp': 7.9, 'unix': 1742078130}	-80		0.061696s
2025-03-15T23:35:38.121156793Z	eui-70b3d57ed005a07c	116	5	{'CH4': 832, 'co2': 161, 'rh': 84.6, 'temp': 8.5, 'unix': 1742085328}	-83		0.061696s
2025-03-16T01:35:36.815842545Z	eui-70b3d57ed005a07c	116	6	{'CH4': 831, 'co2': 57, 'rh': 84.7, 'temp': 8.1, 'unix': 1742092526}	-80		0.061696s
2025-03-16T03:35:35.471403745Z	eui-70b3d57ed005a07c	116	7	{'CH4': 843, 'co2': 174, 'rh': 83.9, 'temp': 8.6, 'unix': 1742099728}	-80		0.061696s
2025-03-16T05:35:34.071844123Z	eui-70b3d57ed005a07c	116	8	{'CH4': 850, 'co2': 62, 'rh': 83.8, 'temp': 9.3, 'unix': 1742106926}	-81		0.061696s
2025-03-16T07:35:32.642497481Z	eui-70b3d57ed005a07c	116	9	{'CH4': 884, 'co2': 174, 'rh': 83.5, 'temp': 10.5, 'unix': 1742114124}	-82		0.061696s
2025-03-16T08:56:20.324557864Z	eui-70b3d57ed005a07c	116		{'CH4': 1072, 'co2': 72, 'rh': 93.5, 'temp': 12.2, 'unix': 1742118974}	-84		0.205824s
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
2025-03-15T10:14:19.520334224Z	eui-70b3d57ed005a07c	116	8	{'CH4': 1064, 'co2': 120, 'rh': 84, 'temp': 16.6, 'unix': 1742037252}	-83		0.061696s
2025-03-15T12:14:18.117918920Z	eui-70b3d57ed005a07c	116	9	{'CH4': 1118, 'co2': 170, 'rh': 84.5, 'temp': 16.3, 'unix': 1742044449}	-82		0.061696s
2025-03-15T13:35:44.954796288Z	eui-70b3d57ed005a07c	116		{'CH4': 1127, 'co2': 54, 'rh': 88.9, 'temp': 15.4, 'unix': 1742049338}	-85		0.205824s
2025-03-15T15:35:43.482581198Z	eui-70b3d57ed005a07c	116	1	{'CH4': 892, 'co2': 175, 'rh': 82.7, 'temp': 11.9, 'unix': 1742056532}	-84		0.123392s
2025-03-15T19:35:40.688565491Z	eui-70b3d57ed005a07c	116	3	{'CH4': 805, 'co2': 160, 'rh': 85.5, 'temp': 8, 'unix': 1742070933}	-83		0.061696s
2025-03-15T21:35:39.409795546Z	eui-70b3d57ed005a07c	116	4	{'CH4': 803, 'co2': 47, 'rh': 85.7, 'temp': 7.9, 'unix': 1742078130}	-80		0.061696s
2025-03-15T23:35:38.121156793Z	eui-70b3d57ed005a07c	116	5	{'CH4': 832, 'co2': 161, 'rh': 84.6, 'temp': 8.5, 'unix': 1742085328}	-83		0.061696s
2025-03-16T01:35:36.815842545Z	eui-70b3d57ed005a07c	116	6	{'CH4': 831, 'co2': 57, 'rh': 84.7, 'temp': 8.1, 'unix': 1742092526}	-80		0.061696s
2025-03-16T03:35:35.471403745Z	eui-70b3d57ed005a07c	116	7	{'CH4': 843, 'co2': 174, 'rh': 83.9, 'temp': 8.6, 'unix': 1742099728}	-80		0.061696s
2025-03-16T05:35:34.071844123Z	eui-70b3d57ed005a07c	116	8	{'CH4': 850, 'co2': 62, 'rh': 83.8, 'temp': 9.3, 'unix': 1742106926}	-81		0.061696s
2025-03-16T07:35:32.642497481Z	eui-70b3d57ed005a07c	116	9	{'CH4': 884, 'co2': 174, 'rh': 83.5, 'temp': 10.5, 'unix': 1742114124}	-82		0.061696s
2025-03-16T08:56:20.324557864Z	eui-70b3d57ed005a07c	116		{'CH4': 1072, 'co2': 72, 'rh': 93.5, 'temp': 12.2, 'unix': 1742118974}	-84		0.205824s
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-16T18:56:13.285363145Z	eui-70b3d57ed005a07c	116	5	{'CH4': 793, 'co2': 199, 'rh': 85.6, 'temp': 8.7, 'unix': 1742154965}	-84		0.061696s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
2025-03-15T10:14:19.520334224Z	eui-70b3d57ed005a07c	116	8	{'CH4': 1064, 'co2': 120, 'rh': 84, 'temp': 16.6, 'unix': 1742037252}	-83		0.061696s
2025-03-15T12:14:18.117918920Z	eui-70b3d57ed005a07c	116	9	{'CH4': 1118, 'co2': 170, 'rh': 84.5, 'temp': 16.3, 'unix': 1742044449}	-82		0.061696s
2025-03-15T13:35:44.954796288Z	eui-70b3d57ed005a07c	116		{'CH4': 1127, 'co2': 54, 'rh': 88.9, 'temp': 15.4, 'unix': 1742049338}	-85		0.205824s
2025-03-15T15:35:43.482581198Z	eui-70b3d57ed005a07c	116	1	{'CH4': 892, 'co2': 175, 'rh': 82.7, 'temp': 11.9, 'unix': 1742056532}	-84		0.123392s
2025-03-15T19:35:40.688565491Z	eui-70b3d57ed005a07c	116	3	{'CH4': 805, 'co2': 160, 'rh': 85.5, 'temp': 8, 'unix': 1742070933}	-83		0.061696s
2025-03-15T21:35:39.409795546Z	eui-70b3d57ed005a07c	116	4	{'CH4': 803, 'co2': 47, 'rh': 85.7, 'temp': 7.9, 'unix': 1742078130}	-80		0.061696s
2025-03-15T23:35:38.121156793Z	eui-70b3d57ed005a07c	116	5	{'CH4': 832, 'co2': 161, 'rh': 84.6, 'temp': 8.5, 'unix': 1742085328}	-83		0.061696s
2025-03-16T01:35:36.815842545Z	eui-70b3d57ed005a07c	116	6	{'CH4': 831, 'co2': 57, 'rh': 84.7, 'temp': 8.1, 'unix': 1742092526}	-80		0.061696s
2025-03-16T03:35:35.471403745Z	eui-70b3d57ed005a07c	116	7	{'CH4': 843, 'co2': 174, 'rh': 83.9, 'temp': 8.6, 'unix': 1742099728}	-80		0.061696s
2025-03-16T05:35:34.071844123Z	eui-70b3d57ed005a07c	116	8	{'CH4': 850, 'co2': 62, 'rh': 83.8, 'temp': 9.3, 'unix': 1742106926}	-81		0.061696s
2025-03-16T07:35:32.642497481Z	eui-70b3d57ed005a07c	116	9	{'CH4': 884, 'co2': 174, 'rh': 83.5, 'temp': 10.5, 'unix': 1742114124}	-82		0.061696s
2025-03-16T08:56:20.324557864Z	eui-70b3d57ed005a07c	116		{'CH4': 1072, 'co2': 72, 'rh': 93.5, 'temp': 12.2, 'unix': 1742118974}	-84		0.205824s
2025-03-16T10:56:18.818711469Z	eui-70b3d57ed005a07c	116	1	{'CH4': 1076, 'co2': 254, 'rh': 85.3, 'temp': 18.7, 'unix': 1742126172}	-81		0.123392s
2025-03-16T12:56:17.455468775Z	eui-70b3d57ed005a07c	116	2	{'CH4': 1216, 'co2': 113, 'rh': 83.4, 'temp': 20.1, 'unix': 1742133371}	-82		0.113152s
2025-03-16T18:56:13.285363145Z	eui-70b3d57ed005a07c	116	5	{'CH4': 793, 'co2': 199, 'rh': 85.6, 'temp': 8.7, 'unix': 1742154965}	-84		0.061696s
2025-03-15T00:14:26.222483282Z	eui-70b3d57ed005a07c	116	3	{'CH4': 696, 'co2': 133, 'rh': 84.8, 'temp': 6, 'unix': 1742001255}	-84		0.061696s
2025-03-15T02:14:24.893303822Z	eui-70b3d57ed005a07c	116	4	{'CH4': 683, 'co2': 35, 'rh': 84.7, 'temp': 5.4, 'unix': 1742008454}	-81		0.061696s
2025-03-15T04:14:23.553981649Z	eui-70b3d57ed005a07c	116	5	{'CH4': 644, 'co2': 173, 'rh': 86.1, 'temp': 5.2, 'unix': 1742015653}	-81		0.061696s
2025-03-15T06:14:22.247520386Z	eui-70b3d57ed005a07c	116	6	{'CH4': 643, 'co2': 56, 'rh': 85.4, 'temp': 4.9, 'unix': 1742022854}	-84		0.061696s
2025-03-15T08:14:20.921373265Z	eui-70b3d57ed005a07c	116	7	{'CH4': 738, 'co2': 177, 'rh': 85, 'temp': 7.7, 'unix': 1742030052}	-83		0.061696s
